PC1,PC2,PC3,model,family,log_n_params,composite_benchmark
-23.85122144715787,-3.7214011433058527,-1.8054807031048599,qwen2.5-72b,qwen2.5,13.815510557964274,0.9677226883063552
-4.9223842617953935,-7.967501458642238,-4.883833012316229,qwen3-1.7b,qwen3,13.815510557964274,0.5368685894450784
-11.020365779352035,-5.700609418920305,-1.4320661590227364,qwen3-8b,qwen3,13.815510557964274,0.7917184802432199
-13.367355234275674,-6.464588892153905,0.30533512186801504,qwen3-14b,qwen3,13.815510557964274,0.8786133848241993
-18.09800201143449,-6.747355883941321,1.2591848367365146,qwen3-32b,qwen3,13.815510557964274,0.9160305865150316
14.016108554180436,18.701035341766975,-3.850616189762959,qwen3.5-0.8b,qwen3.5,20.5001222856322,0.4351912934857324
14.342494760728714,19.239623354089527,-3.5737705004738722,qwen3.5-0.8b-it,qwen3.5,20.5001222856322,0.4629063172335164
8.399814657613167,21.575571544424008,0.4174039494632014,qwen3.5-2b,qwen3.5,21.41641301750636,0.5312116500347464
8.69902332493357,21.549552676813175,-0.01625308195366095,qwen3.5-2b-it,qwen3.5,21.41641301750636,0.5663146407984488
2.311772305627942,21.586135934363202,4.7744637063939965,qwen3.5-4b,qwen3.5,22.1095601980663,0.7885305143480799
2.467336156514484,22.13660685001219,4.932587360243869,qwen3.5-4b-it,qwen3.5,22.1095601980663,0.7443270844294353
-0.34236097863299764,16.547471249449902,9.061128952158993,qwen3.5-9b,qwen3.5,22.920490414282632,0.7646478659771524
-0.3792579099247927,16.555622752846975,8.937319280627234,qwen3.5-9b-it,qwen3.5,22.920490414282632,0.7340225125001751
-9.204759370758747,12.721340775584856,12.646739107821508,qwen3.5-27b-it,qwen3.5,24.01910270295074,0.979308658167585
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma1-2b,gemma1,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma1-7b,gemma1,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma2-2b,gemma2,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma2-9b,gemma2,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma2-27b,gemma2,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma3-1b,gemma3,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma3-4b,gemma3,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma3-12b,gemma3,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,gemma3-27b,gemma3,13.815510557964274,
5.806873007952541,8.138420508898808,5.561865592409859,gemma4-e2b,gemma4,21.55617495988152,0.567807436927995
2.83909469720125,10.50748728513245,7.759912197637689,gemma4-e4b,gemma4,22.227343233722685,0.7503907278675513
8.780550670029294,14.279344869013068,18.129500725637865,gemma4-e4b-it,gemma4,22.227343233722685,0.5474331637820763
-7.12563887433137,3.9754037922341303,18.91175311877649,gemma4-31b,gemma4,24.15725304143156,0.9434978558096064
9.226315548574544,-2.6870923086167116,-11.303218876512739,olmo-1b,olmo,20.888780275423983,0.0640195528086414
-2.799667465553312,-1.7395942712156733,-11.409454339389002,tinyllama-1.1b,tinyllama,20.818576016750736,0.1098566035159351
0.34679903042597987,-9.757821856051288,2.473856108976001,phi-2,phi,21.716517609956693,0.5670925472711031
