feature,n_pairs,mean_delta,median_delta,std_delta,std_delta_xmodel,cohens_d,sign_agreement,wilcoxon_p,n_qwen,n_llama,n_gemma,abs_std_delta_xmodel,wilcoxon_q
interpretability_sparsity.layer_kurtosis.q25,6,-36709.94542324612,-33.887979694663144,90016.45252580234,-1.0632783577803286,-0.40781373174779995,0.8333333333333334,0.3125,4,1,1,1.0632783577803286,0.6611111111111111
dynamics_gradient_flow.gradient_norm_per_layer.mean,6,1.9091733645681026,0.17694726464105776,4.32511095754417,1.051910296858715,0.4414160430353781,1.0,0.03125,4,1,1,1.051910296858715,0.2361111111111111
dynamics_gradient_flow.gradient_norm_mean,6,1.9091733645681026,0.17694726464105776,4.32511095754417,1.051910296858715,0.4414160430353781,1.0,0.03125,4,1,1,1.051910296858715,0.2361111111111111
interpretability_prediction_entropy.top5_entropy_p90,6,-0.049479166666668996,-0.00390625,0.11633614359816138,-1.0487963299668555,-0.4253120753046088,0.5,0.25,4,1,1,1.0487963299668555,0.6390977443609023
dynamics_gradient_flow.gradient_norm_per_layer.q50,6,0.9912377720077833,0.08544357493519783,2.255967959902345,1.0345585604407368,0.4393846852553222,1.0,0.03125,4,1,1,1.0345585604407368,0.2361111111111111
consistency_position_sensitivity.position_spread,6,0.20830078124999998,0.011132812499999853,0.5198844216353582,1.0190155607240108,0.40066748027333676,0.5,0.6875,4,1,1,1.0190155607240108,0.8333333333333334
geometry_lid.lid_median,6,1.558082284045079,0.5139022616972069,2.6712960212269437,0.9843874976457458,0.583268298108512,0.8333333333333334,0.0625,4,1,1,0.9843874976457458,0.27070063694267515
consistency_position_sensitivity.u_curve_depth,6,0.09427083333333332,0.0361328125000001,0.19539680472201407,0.9769909337648973,0.4824584182297657,0.6666666666666666,0.3125,4,1,1,0.9769909337648973,0.6611111111111111
consistency_calibration.calibration_intercept,5,-0.01753005375635132,-0.0158820098694698,0.009017547685875343,-0.9763484158388922,-1.9439934633015092,1.0,0.0625,4,1,0,0.9763484158388922,0.27070063694267515
causality_ablation.loss_ablate_5pct,6,2.095572916666667,0.16874999999999996,3.2798045055156932,0.9688960687142337,0.6389322635365957,1.0,0.03125,4,1,1,0.9688960687142337,0.2361111111111111
consistency_icl_slope.icl_slope,6,-0.38111975760686984,0.010453469412667477,1.058446308409242,-0.9666196303938699,-0.36007471950056835,0.3333333333333333,0.5625,4,1,1,0.9666196303938699,0.7470703125
geometry_lid.lid_max,6,513.4409654278683,-1.2082979925446722,1349.3448722445219,0.9455365920123875,0.38051129551024443,0.5,1.0,4,1,1,0.9455365920123875,1.0
consistency_icl_slope.icl_gain,6,1.5177521705627441,-0.004215240478515625,4.2876775834449905,0.944051665884685,0.3539800138944417,0.3333333333333333,0.84375,4,1,1,0.944051665884685,0.9359706362153344
consistency_icl_slope.mean_nll_1shot,6,1.4201332728068035,-0.021484375,3.5366868850207163,0.936054870256803,0.40154339894256286,0.5,0.84375,4,1,1,0.936054870256803,0.9359706362153344
interpretability_prediction_entropy.std_entropy,6,-0.13714964463835086,-0.10315462537209885,0.26276682025338494,-0.9282224154353046,-0.5219443021995624,0.8333333333333334,0.3125,4,1,1,0.9282224154353046,0.6611111111111111
consistency_icl_slope.mean_nll_0shot,6,1.8198877970377605,0.0069580078125,4.950806576388193,0.8890503211299841,0.367594202875411,0.5,0.84375,4,1,1,0.8890503211299841,0.9359706362153344
topology_homology.num_loops_h1.max,6,-1.3333333333333333,-1.0,1.0327955589886446,-0.8675777956843241,-1.2909944487358054,0.8333333333333334,0.0625,4,1,1,0.8675777956843241,0.27070063694267515
causality_attention_knockout.per_head_impacts.q25,6,-0.02430555555555558,0.00130208333333335,0.06483625430795048,-0.8527938829784412,-0.3748759982356836,0.3333333333333333,1.0,4,1,1,0.8527938829784412,1.0
consistency_icl_slope.mean_nll_2shot,6,0.9412022431691488,0.01494598388671875,2.2253228275414947,0.8511775773634359,0.4229508777425232,0.6666666666666666,0.5625,4,1,1,0.8511775773634359,0.7470703125
consistency_position_sensitivity.position_argmin,6,0.3333333333333333,0.125,0.43779751788545657,0.8350843835268293,0.761386987626881,0.5,0.25,4,1,1,0.8350843835268293,0.6390977443609023
geometry_lid.lid_std,6,19.804882555089446,-2.2361749372427298,58.713366762049155,0.8320934914964863,0.3373147146433242,0.3333333333333333,0.5625,4,1,1,0.8320934914964863,0.7470703125
topology_homology.num_loops_h1.min,6,-0.8333333333333334,-0.5,1.7224014243685084,-0.8020101315216587,-0.48382062482261473,0.5,0.5,4,1,1,0.8020101315216587,0.7456140350877193
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.q75,6,-0.026169853831330952,-0.021009472906589506,0.018068503073382522,-0.7949409061716283,-1.4483686736552555,1.0,0.03125,4,1,1,0.7949409061716283,0.2361111111111111
topology_homology.num_loops_h1.mean,6,-0.7777777777777777,-0.6666666666666667,0.5018484351393872,-0.7662355754969739,-1.549826049695167,0.8333333333333334,0.0625,4,1,1,0.7662355754969739,0.27070063694267515
dynamics_gradient_flow.gradient_norm_per_layer.slope,6,-0.1601843005690243,-0.02255267082707369,0.3400964886837155,-0.7578588648372145,-0.4709966315412131,1.0,0.03125,4,1,1,0.7578588648372145,0.2361111111111111
geometry_positional_decay.layer_positional_decay.q75,6,-0.08567831168267558,-0.0314211758702202,0.1441972785906128,-0.7493337736715624,-0.5941742626497336,1.0,0.03125,4,1,1,0.7493337736715624,0.2361111111111111
geometry_lid.lid_mean,6,2.0331917975904528,0.3540666041433216,4.04468939689081,0.7451439765623583,0.5026818126389102,0.8333333333333334,0.21875,4,1,1,0.7451439765623583,0.5765503875968992
topology_betti_curve.betti_1_curve.min,6,-0.5,-0.5,0.5477225575051661,-0.7448555856006233,-0.9128709291752769,0.5,0.25,4,1,1,0.7448555856006233,0.6390977443609023
causality_attention_knockout.per_head_impacts.q50,6,0.028211805555555716,0.00130208333333335,0.07063807083651609,0.7197261818073253,0.39938527795937095,0.5,0.625,4,1,1,0.7197261818073253,0.8157389635316699
interpretability_prediction_entropy.median_top1_top2_gap_logprob,6,0.23958333333333334,-0.00390625,0.680426442188402,0.7095853727328274,0.3521076173388858,0.16666666666666666,0.875,4,1,1,0.7095853727328274,0.967479674796748
topology_homology.num_loops_h1.slope,6,-0.8333333333333335,-0.5,1.602081978759722,-0.705770497299369,-0.5201564866102995,0.8333333333333334,0.15625,4,1,1,0.705770497299369,0.46397379912663755
geometry_positional_decay.layer_positional_decay.max,6,-0.06113005687681461,-0.007957716298434947,0.13274600570221368,-0.6691298149916551,-0.4605039266789419,0.5,0.4375,4,1,1,0.6691298149916551,0.6611111111111111
geometry_hsic.adjacent_hsic.q75,6,-0.023503541944669342,-0.0135145950349021,0.03175447444162266,-0.6617974877343915,-0.7401647282142297,0.5,0.4375,4,1,1,0.6617974877343915,0.6611111111111111
geometry_correlation_dimension.fit_r_squared,6,-0.016340479013119764,-0.003447293969581988,0.03335762254808482,-0.6599380575344641,-0.48985742282937156,0.8333333333333334,0.0625,4,1,1,0.6599380575344641,0.27070063694267515
consistency_position_sensitivity.nll_at_0.0,6,0.20846354166666667,-0.015429687499999956,0.6984566668697434,0.658142853751896,0.29846309950899713,0.3333333333333333,0.84375,4,1,1,0.658142853751896,0.9359706362153344
consistency_position_sensitivity.nll_at_1.0,6,-0.08805338541666667,-0.02490234375,0.11997609324205241,-0.657016737301079,-0.7339244264190075,0.8333333333333334,0.0625,4,1,1,0.657016737301079,0.27070063694267515
causality_ablation.loss_ablate_10pct,6,1.6729166666666668,0.22812500000000013,2.8872143166756206,0.6494047862082207,0.5794224062288825,1.0,0.03125,4,1,1,0.6494047862082207,0.2361111111111111
interpretability_logit_lens.acc.max,6,0.0023460876941681086,0.0,0.005746717742534619,0.6460696152182062,0.4082482904638631,0.16666666666666666,1.0,4,1,1,0.6460696152182062,1.0
interpretability_activation_sinks.massive_activation_fraction_per_layer.q75,6,7.564197791603589e-05,0.0,0.00015636833084744725,0.6330747126361834,0.48374231218105224,0.3333333333333333,0.5,4,1,1,0.6330747126361834,0.7456140350877193
causality_ablation.loss_ablate_25pct,6,0.9822916666666663,0.1656249999999999,1.451698448513556,0.6141777762933187,0.6766499390231274,1.0,0.03125,4,1,1,0.6141777762933187,0.2361111111111111
causality_tracing.aie.max,6,-0.1656050282569292,-0.011994997660319029,0.37502027848227,-0.6029479083995601,-0.4415895293106359,0.5,0.6875,4,1,1,0.6029479083995601,0.8333333333333334
causality_tracing.max_aie,6,-0.1656050282569292,-0.011994997660319029,0.37502027848227,-0.6029479083995601,-0.4415895293106359,0.5,0.6875,4,1,1,0.6029479083995601,0.8333333333333334
repe_task_vectors.layer_task_vector_norms.min,6,0.3157955085237821,-0.0004326878115534505,0.7751745930957643,0.5955283246343681,0.40738629895313017,0.5,1.0,4,1,1,0.5955283246343681,1.0
geometry_contextualization.per_layer.mev.min,6,-0.015679250442251397,-0.0037731874219220085,0.03013586871577374,-0.5953340525522659,-0.5202853314145397,1.0,0.03125,4,1,1,0.5953340525522659,0.2361111111111111
geometry_mahalanobis.ood_separation_gap,6,6.427855809529622,4.098226547241209,10.769788383125137,0.591767823034499,0.5968414216570159,0.8333333333333334,0.15625,4,1,1,0.591767823034499,0.46397379912663755
causality_edge_attribution.peak_attribution_layer,6,-0.13109488135554567,-0.06690042075736324,0.29507986381302576,-0.5814681128890011,-0.4442691536505946,0.6666666666666666,0.4375,4,1,1,0.5814681128890011,0.6611111111111111
interpretability_attention_graph.bos_sink_ratio,6,-0.055474950396825394,0.0,0.13638660844929199,-0.5798597048093225,-0.406747781380976,0.3333333333333333,0.75,4,1,1,0.5798597048093225,0.9058614564831261
geometry_contextualization.per_layer.self_similarity_corrected.q50,6,-0.05502627292942458,-0.020171372666472204,0.09488068174258886,-0.5768652345956852,-0.579952335067646,1.0,0.03125,4,1,1,0.5768652345956852,0.2361111111111111
interpretability_prediction_entropy.mean_top1_top2_gap_logprob,6,0.3132374429617604,-0.032796428946263445,0.8458335654434719,0.5740765823710878,0.37032988020229435,0.3333333333333333,0.84375,4,1,1,0.5740765823710878,0.9359706362153344
interpretability_attention_rank.layer_mean_normalised_rank.min,6,0.07732449764870132,0.037608436071464496,0.11330390191027612,0.5724155105500681,0.6824522046022173,0.8333333333333334,0.0625,4,1,1,0.5724155105500681,0.27070063694267515
interpretability_prediction_entropy.p90_entropy,6,-0.4557291666666667,-0.25,0.8125250396782654,-0.5690354686550237,-0.5608801506561831,0.8333333333333334,0.25,4,1,1,0.5690354686550237,0.6390977443609023
topology_betti_curve.betti_0_last,6,-0.16666666666666666,0.0,0.408248290463863,-0.5627881694093038,-0.408248290463863,0.16666666666666666,1.0,4,1,1,0.5627881694093038,1.0
interpretability_attention_rank.layer_mean_effective_rank.min,6,7.75526724085212,3.6531569883227384,11.460787850273608,0.5560846260115582,0.6766783699487968,0.8333333333333334,0.0625,4,1,1,0.5560846260115582,0.27070063694267515
interpretability_prediction_entropy.mean_top5_entropy,6,-0.06735775420474803,-0.0027734795905882126,0.17924931557923032,-0.5542569228237502,-0.3757769115440505,0.6666666666666666,0.84375,4,1,1,0.5542569228237502,0.9359706362153344
interpretability_attention_rank.layer_mean_normalised_rank.q75,6,0.08134089693165027,0.0427355633236598,0.12986135072250576,0.5522328848689556,0.6263672484468729,0.8333333333333334,0.0625,4,1,1,0.5522328848689556,0.27070063694267515
interpretability_attention_rank.layer_mean_effective_rank.q75,6,8.261475778271752,4.53502918243408,13.042269417661927,0.5454971780139264,0.6334385154690951,0.8333333333333334,0.0625,4,1,1,0.5454971780139264,0.27070063694267515
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.slope,6,-0.004830732114613067,-0.002889312855899301,0.004952115322887344,-0.5426774493870403,-0.975488614388022,1.0,0.03125,4,1,1,0.5426774493870403,0.2361111111111111
causality_tracing.aie.std,6,-0.06298593922285546,0.0030998840294773344,0.15471922587302084,-0.5368407110094376,-0.4070983348543152,0.3333333333333333,1.0,4,1,1,0.5368407110094376,1.0
geometry_contextualization.per_layer.self_similarity_raw.q75,6,0.0666972838499787,0.051762330625407416,0.049935791837075555,0.5288895265049282,1.335660883632135,1.0,0.03125,4,1,1,0.5288895265049282,0.2361111111111111
interpretability_attention_graph.mean_sink_pagerank,6,-0.0714919635968801,-0.015846037668889396,0.15303859130758188,-0.5256244963718439,-0.46714990634743403,0.6666666666666666,0.15625,4,1,1,0.5256244963718439,0.46397379912663755
geometry_schatten.schatten_inf_per_layer.min,6,-0.12998757958412158,-0.01796763539314261,0.27153692968465165,-0.5253927467920093,-0.4787105007598125,0.5,0.4375,4,1,1,0.5253927467920093,0.6611111111111111
geometry_positional_decay.layer_positional_decay.std,6,-0.018613082285456384,-0.011038454588060704,0.026043603920880724,-0.5246710569008698,-0.7146891936308843,0.8333333333333334,0.0625,4,1,1,0.5246710569008698,0.27070063694267515
geometry_rsa.rsa_early_late,6,0.05802213160685706,0.0039006625163421627,0.11735241018747426,0.5233154872717983,0.49442641624628614,0.6666666666666666,0.4375,4,1,1,0.5233154872717983,0.6611111111111111
interpretability_attention_rank.layer_mean_effective_rank.std,6,-1.561047048678196,-0.8664708778682759,1.734598686482643,-0.5186835545027134,-0.8999470948773928,1.0,0.03125,4,1,1,0.5186835545027134,0.2361111111111111
geometry_mahalanobis.ood_separation_ratio,6,0.07843074952847034,0.04970044971450194,0.1352638971276714,0.518006517785307,0.579835057202603,0.8333333333333334,0.15625,4,1,1,0.518006517785307,0.46397379912663755
geometry_positional_decay.layer_positional_decay.slope,6,-0.00594243275541705,-0.0061312053283351,0.0038271283638554743,-0.5169618311599558,-1.5527132069932987,0.8333333333333334,0.0625,4,1,1,0.5169618311599558,0.27070063694267515
causality_attention_knockout.per_head_impacts.std,6,0.07888041654127219,0.037410148632282196,0.1025437363664435,0.5159666201653847,0.7692368089591582,0.8333333333333334,0.09375,4,1,1,0.5159666201653847,0.3390957446808511
consistency_format_robustness.mean_nll_std_across_formats,6,0.3157872389521485,0.11546712437499751,0.7016435144958656,0.5140648434884055,0.45006792256754946,0.6666666666666666,0.4375,4,1,1,0.5140648434884055,0.6611111111111111
geometry_contextualization.per_layer.intra_sentence_similarity_raw.q50,6,0.08686707820743322,0.027459841743111613,0.16853920148416032,0.5119813187970336,0.5154117109994566,0.8333333333333334,0.09375,4,1,1,0.5119813187970336,0.3390957446808511
topology_betti_curve.betti_1_curve.mean,6,-0.5515873015873016,-0.5208333333333335,0.6246191205281846,-0.5071339350960531,-0.8830778364915783,0.8333333333333334,0.09375,4,1,1,0.5071339350960531,0.3390957446808511
interpretability_attention_rank.layer_mean_normalised_rank.std,6,-0.01510787317758902,-0.008848621976661752,0.015637664429482532,-0.5070220377319542,-0.9661208197501241,1.0,0.03125,4,1,1,0.5070220377319542,0.2361111111111111
geometry_positional_decay.layer_positional_decay.mean,6,-0.04229317983781223,-0.0008308941608027032,0.10595138828437618,-0.5018815477587627,-0.39917532486026774,0.5,0.84375,4,1,1,0.5018815477587627,0.9359706362153344
geometry_positional_decay.mean_positional_decay_correlation,6,-0.042293179837812174,-0.0008308941608027032,0.1059513882843761,-0.5011703661730972,-0.3991753248602675,0.5,0.84375,4,1,1,0.5011703661730972,0.9359706362153344
topology_betti_curve.betti_0_curve.q25,6,0.3333333333333333,0.0,0.816496580927726,0.49824516881576303,0.408248290463863,0.16666666666666666,1.0,4,1,1,0.49824516881576303,1.0
interpretability_prediction_entropy.mean_top1_prob,6,0.043811630965240905,0.0024986367027642065,0.10278864826546778,0.4981525462828342,0.4262302472554217,0.5,0.4375,4,1,1,0.4981525462828342,0.6611111111111111
interpretability_attention_rank.layer_max_effective_rank.min,6,11.551616032918295,4.751338958740234,17.920907607991115,0.49456733937849995,0.6445887834256403,0.8333333333333334,0.0625,4,1,1,0.49456733937849995,0.27070063694267515
topology_betti_curve.max_betti_1,6,-0.6666666666666666,-0.5,0.816496580927726,-0.48857487468084543,-0.816496580927726,0.5,0.25,4,1,1,0.48857487468084543,0.6390977443609023
topology_betti_curve.betti_1_curve.max,6,-0.6666666666666666,-0.5,0.816496580927726,-0.48857487468084543,-0.816496580927726,0.5,0.25,4,1,1,0.48857487468084543,0.6390977443609023
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.std,6,-0.005958613684940301,-0.00454525909217,0.0038976090561788413,-0.47738485800051744,-1.5287869047548956,1.0,0.03125,4,1,1,0.47738485800051744,0.2361111111111111
causality_circuit_quality.layer_importances.std,6,0.3978734492014309,0.2130859639978867,0.4773287266247656,0.47150933177973237,0.8335418067436039,1.0,0.03125,4,1,1,0.47150933177973237,0.2361111111111111
geometry_contextualization.per_layer.anisotropy_baseline.q50,6,0.09435819089412689,0.03671190142631531,0.16723502688134806,0.4708307512572503,0.5642250469518763,0.8333333333333334,0.0625,4,1,1,0.4708307512572503,0.27070063694267515
interpretability_attention_entropy.min_entropy_head,6,-0.06861166656017305,-0.011943951249122661,0.1694450876937112,-0.4703405759153127,-0.40491977368028187,0.8333333333333334,0.3125,4,1,1,0.4703405759153127,0.6611111111111111
interpretability_attention_entropy.min_normalized_entropy_head,6,-0.014054323520519515,-0.0024386161526234983,0.03473235720866185,-0.4691699241532278,-0.4046464061188029,0.8333333333333334,0.3125,4,1,1,0.4691699241532278,0.6611111111111111
consistency_position_sensitivity.nll_at_0.25,6,0.10677083333333344,-0.02050781249999989,0.4249981809090972,0.4638853816735398,0.2512265654995136,0.3333333333333333,0.84375,4,1,1,0.4638853816735398,0.9359706362153344
causality_tracing.aie.q25,6,-0.12342344278133371,0.015023231506347656,0.3271870432867713,-0.4631516737076522,-0.377225948623999,0.5,0.84375,4,1,1,0.4631516737076522,0.9359706362153344
geometry_mahalanobis.auroc,6,0.10406266666666668,0.07500000000000007,0.1648610270241778,0.45757305457160596,0.631214475276836,0.8333333333333334,0.09375,4,1,1,0.45757305457160596,0.3390957446808511
interpretability_attention_rank.layer_min_effective_rank.q50,6,1.2038448452949526,0.9642324447631836,1.1125699121988415,0.45524469846320664,1.0820397281063612,1.0,0.03125,4,1,1,0.45524469846320664,0.2361111111111111
causality_attention_knockout.mean_knockout_impact,6,0.016503906250000065,0.008642578125000154,0.019032120530058056,0.45194577146386417,0.8671606626247926,1.0,0.03125,4,1,1,0.45194577146386417,0.2361111111111111
consistency_format_robustness.mean_nll_cv_across_formats,6,-0.10410711368308667,-0.03166869520339788,0.27550136249658375,-0.44934961070698937,-0.37788239135977997,0.6666666666666666,0.5625,4,1,1,0.44934961070698937,0.7470703125
causality_attention_knockout.head_impact_gini_coefficient,6,-0.04949324409448543,-0.006980028828060203,0.09982638391322315,-0.44919022919300605,-0.49579321772797863,0.5,0.5625,4,1,1,0.44919022919300605,0.7470703125
interpretability_attention_rank.layer_max_effective_rank.std,6,-2.6826944342686923,-2.002503306456755,3.757561405889021,-0.44711130685309325,-0.7139456004802082,0.8333333333333334,0.15625,4,1,1,0.44711130685309325,0.46397379912663755
interpretability_attention_rank.layer_max_effective_rank.q75,6,12.561812082926437,5.474876403808594,17.523205326233967,0.4469289324771122,0.7168672539675242,1.0,0.03125,4,1,1,0.4469289324771122,0.2361111111111111
consistency_calibration.brier_score,5,0.004213434457778975,0.0035981833934783936,0.002135768936432408,0.44581139963187655,1.9727950837308754,1.0,0.0625,4,1,0,0.44581139963187655,0.27070063694267515
interpretability_attention_rank.rank_collapse_trend_spearman,6,0.18105727070559743,0.09285714285714293,0.269099062230927,0.4453430667619743,0.6728275795707656,0.6666666666666666,0.125,4,1,1,0.4453430667619743,0.4292929292929293
topology_betti_curve.betti_1_curve.q25,6,-1.0,-1.0,1.0954451150103321,-0.44369410322155295,-0.9128709291752769,0.6666666666666666,0.125,4,1,1,0.44369410322155295,0.4292929292929293
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.mean,6,-0.009603614196181318,-0.008951488859951506,0.004249278844705154,-0.44314648806240403,-2.260057423190284,1.0,0.03125,4,1,1,0.44314648806240403,0.2361111111111111
geometry_contextualization.mean_intra_sentence_similarity_corrected,6,-0.009603614196181318,-0.008951488859951506,0.004249278844705154,-0.44314648806240403,-2.260057423190284,1.0,0.03125,4,1,1,0.44314648806240403,0.2361111111111111
interpretability_attention_rank.layer_min_effective_rank.q75,6,1.5592119892438252,0.3773958683013916,3.1879711128137793,0.4376584105240679,0.489092257761278,0.6666666666666666,0.21875,4,1,1,0.4376584105240679,0.5765503875968992
geometry_contextualization.per_layer.anisotropy_baseline.q75,6,0.08677099893490474,0.04745663702487944,0.11551103896533227,0.43725928264148306,0.7511922644981738,1.0,0.03125,4,1,1,0.43725928264148306,0.2361111111111111
interpretability_attention_rank.layer_max_effective_rank.mean,6,6.585601409276319,3.0101380348205495,11.432583435410848,0.4359309091409835,0.5760379048604473,0.8333333333333334,0.0625,4,1,1,0.4359309091409835,0.27070063694267515
interpretability_prediction_entropy.mean_top5_prob,6,0.03648557399866056,0.01194738841277021,0.06731566171783979,0.4249260768111101,0.5420072100248146,0.8333333333333334,0.0625,4,1,1,0.4249260768111101,0.27070063694267515
topology_homology.num_loops_h1.q50,6,-0.6666666666666666,-1.0,1.8618986725025255,-0.4183603265108781,-0.35805743701971643,0.6666666666666666,0.53125,4,1,1,0.4183603265108781,0.7470703125
topology_homology.num_loops_h1.q75,6,-0.6666666666666666,-1.0,1.8618986725025255,-0.4183603265108781,-0.35805743701971643,0.6666666666666666,0.53125,4,1,1,0.4183603265108781,0.7470703125
dynamics_sharpness.sam_sharpness,6,0.33203125,0.1015625,0.4717029384150315,0.41743742797497424,0.7038990495070008,1.0,0.03125,4,1,1,0.41743742797497424,0.2361111111111111
interpretability_attention_rank.min_effective_rank,6,0.6472180088361105,0.06035858392715476,1.427072853147458,0.4023227251986195,0.4535283587019745,0.6666666666666666,0.5625,4,1,1,0.4023227251986195,0.7470703125
interpretability_attention_rank.layer_min_effective_rank.min,6,0.6472180088361105,0.06035858392715476,1.427072853147458,0.4023227251986195,0.4535283587019745,0.6666666666666666,0.5625,4,1,1,0.4023227251986195,0.7470703125
consistency_calibration.calibration_slope,5,-0.018893555114117076,-0.0037812807846897556,0.03619288877104479,-0.3915096099292384,-0.5220239598346842,1.0,0.0625,4,1,0,0.3915096099292384,0.27070063694267515
geometry_contextualization.per_layer.mev.q50,6,-0.013179756861236727,-0.0037731874219220085,0.024040464434659268,-0.38323639818142347,-0.5482322064558537,1.0,0.03125,4,1,1,0.38323639818142347,0.2361111111111111
consistency_calibration.ece,5,0.01235787443299006,0.011856980565116401,0.005251784879598056,0.38090183989417437,2.3530808508546275,1.0,0.0625,4,1,0,0.38090183989417437,0.27070063694267515
interpretability_prediction_entropy.mean_entropy,6,-0.24901794001794517,-0.08011269856326719,0.519395465414571,-0.3776648028053089,-0.47943803248105765,0.8333333333333334,0.3125,4,1,1,0.3776648028053089,0.6611111111111111
causality_ablation.degradation_5pct,6,0.78359375,0.04609375000000002,1.5612997734009555,0.3766996458670666,0.5018855208651632,1.0,0.03125,4,1,1,0.3766996458670666,0.2361111111111111
interpretability_attention_rank.layer_min_effective_rank.mean,6,1.2025972623673693,0.48158182700475116,2.0081214774652145,0.37318384004917765,0.5988667896154212,1.0,0.03125,4,1,1,0.37318384004917765,0.2361111111111111
causality_circuit_quality.layer_importances.q25,6,0.9270833333333336,0.9518229166666665,0.864267952016008,0.37236805070364454,1.0726804472742524,0.8333333333333334,0.09375,4,1,1,0.37236805070364454,0.3390957446808511
geometry_contextualization.per_layer.self_similarity_raw.slope,6,0.011532330015344601,0.008391367080852807,0.00952766263097005,0.37095823621169816,1.2104049505130776,1.0,0.03125,4,1,1,0.37095823621169816,0.2361111111111111
interpretability_activation_sinks.massive_activation_fraction_per_layer.q50,6,7.720355836983332e-05,6.512229446999914e-07,0.0001552770859443107,0.364378396023616,0.4971986555538656,0.5,0.25,4,1,1,0.364378396023616,0.6390977443609023
geometry_unembedding.unembedding_purity_mean,6,-0.01803232007447723,-0.00021984924623119628,0.04376858715252701,-0.3589240630419874,-0.4119922813966391,0.5,0.625,4,1,1,0.3589240630419874,0.8157389635316699
causality_circuit_quality.layer_importances.max,6,1.8906250000000002,0.5247395833333339,3.932733487872264,0.3587988249761001,0.4807406873184507,0.6666666666666666,0.15625,4,1,1,0.3587988249761001,0.46397379912663755
geometry_contextualization.per_layer.intra_sentence_similarity_raw.q75,6,0.06060114510357379,0.027131957039237042,0.09757960200470926,0.35764914854299723,0.6210431674096102,0.8333333333333334,0.0625,4,1,1,0.35764914854299723,0.27070063694267515
geometry_perplexity.bits_per_char,5,0.05324811218966019,0.04907597227455862,0.024323330587496736,0.3544927389189384,2.189178492563517,1.0,0.0625,4,1,0,0.3544927389189384,0.27070063694267515
interpretability_attention_rank.mean_normalised_effective_rank,6,0.05095367207665117,0.026182798365309456,0.08511721719522344,0.35096597272580926,0.5986294401493962,0.8333333333333334,0.0625,4,1,1,0.35096597272580926,0.27070063694267515
interpretability_attention_rank.layer_mean_normalised_rank.mean,6,0.050953672076651225,0.026182798365309568,0.0851172171952234,0.3507452382484141,0.5986294401493971,0.8333333333333334,0.0625,4,1,1,0.3507452382484141,0.27070063694267515
